Substance 1,Substance 2,Result,Reason
BENZENE,ACETYLENE,Compatible,"NR
-----


*****


Hydrocarbons, Aromatic WITH Alkynes, with Acetylenic Hydrogen:

   No evidence was found for a hazardous reaction between these reactive groups."
BENZENE,ALUMINUM OXIDE,Compatible,"NR
-----


*****


Hydrocarbons, Aromatic WITH Non-Redox-Active Inorganic Compounds:

   Pure iron (III) oxides do not react with organic solvents (Swiler, D. R. 2005. Pigments, Inorganic. Kirk-Othmer Encyclopedia of Chemical Technology. (Online))."
BENZENE,"ALUMINUM POWDER, UNCOATED",Compatible,"NR
-----


*****


Hydrocarbons, Aromatic WITH Metals, Elemental and Powder, Active:

   Alkali and alkali earth metals do not react with benzene, toluene, or xylene in the absence of proton sources (such as water, alcohols, or ammonium salts) (E. M. Kaiser, Synthesis, 1972, (8), p. 391-415; C. B. Wooster, K. L. Godfrey, J. Am. Chem. Soc., 1937, (59), p 596-597).

   Alkali and alkali earth metals dissolved in ammonia can perform stepwise one-electron reductions of polynuclear aromatic hydrocarbons in the presence of proton sources (inc. alcohols, water, or ammonium salts). The reaction produces 1,4-cyclohexadienes (Birch reduction) or cyclohexenes (Benkeser reduction) (A. A. Akhrem, I. G. Reshetova, Y. A. Titov: Birch Reductions of Aromatic Compounds, IFI/Plenum, New York 1972; E. M. Kaiser, Synthesis, 1972, (8), p. 391-415).

"
BENZENE,"AMMONIA, ANHYDROUS",Compatible,"NR
-----


*****


Hydrocarbons, Aromatic WITH Bases, Weak:

   No evidence was found for a hazardous reaction between these reactive groups."
BENZENE,ARGON,Compatible,"NR
-----


*****


Hydrocarbons, Aromatic WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups."
BROMINE,ACETYLENE,Incompatible,"R1
E
R1
-----



*****


Oxidizing Agents, Strong WITH Alkynes, with Acetylenic Hydrogen:

   The combination of strong oxidizing agent and alkyne (attached hydrogen) will result in exothermic oxidation-reduction reactions. Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility.

Halogenating Agents WITH Alkynes, with Acetylenic Hydrogen:

   Acetylene can form explosive chloroacetylenes on contact with hypochlorites (Unfalle beim Chemischen Arbeiten, Rust, E., Ebert, A., Zurich, Rascher Verlag, 2nd edition, 1948, pp. 338). 

   Bromine and chlorine add across carbon-carbon double or triple bonds to generate halogenated hydrocarbons (Loudon, Marc. 2002. Organic Chemistry. 4th ed. New York: Oxford University Press. p. 160-164, 614). This reaction is very rapid and exothermic."
BROMINE,ALUMINUM OXIDE,Incompatible,"R1
R3
R1
R3
-----



*****


 Oxidizing Agents, Strong WITH Non-Redox-Active Inorganic Compounds:

  The combination of very strong oxidizing agents and normally non-redox-active salts may result in exothermic oxidation-reduction reactions.  Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility.

   Chlorine trifluoride is a potent oxidizer and reacts violently with many metal oxides and some salts, including calcium oxide, magnesium oxide, manganese dioxide, aluminum oxide, arsenic trioxide, bismuth trioxide, chromic oxide, lanthanum oxide, lead dioxide, molybdenum trioxide, stannic oxide, tantalum pentoxide, tungsten trioxide, vanadium pentoxide, mercury iodide, and potassium iodide (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1237).

   Oxygen difluoride reacts exothermically with aluminum oxide (alumina). This reaction can be explosive under certain conditions (e.g. confinement) (Streng, A. G., Chem. Eng. News, 1965, 43(12), 5).

   Titanium dioxide is not easily oxidized under normal conditions (Swiler, D. R. 2005. Pigments, Inorganic. Kirk-Othmer Encyclopedia of Chemical Technology. (Online)).

   Several metal oxides, including those of cobalt, iron, lead, manganese, mercury, and nickel, are active catalysts for the potentially explosive decomposition of hydrogen peroxide (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1531).

Non-Redox-Active Inorganic Compounds WITH Halogenating Agents:

   Halogens may serve to oxidize non-redox-active salts. These reactions may be exothermic. Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility.

   Chlorine trifluoride is a potent oxidizer and reacts violently with many metal oxides and some salts, including calcium oxide, magnesium oxide, manganese dioxide, aluminum oxide, arsenic trioxide, bismuth trioxide, chromic oxide, lanthanum oxide, lead dioxide, molybdenum trioxide, stannic oxide, tantalum pentoxide, tungsten trioxide, vanadium pentoxide, mercury iodide, and potassium iodide (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1237).

   Tungsten trioxide reacts exothermically with boron tribromide, and the mixture may explode if the temperature is not adequately controlled (Levason, W. et al., J. Chem. Soc., Dalton Trans., 1981, 2501-2507)."
BROMINE,"ALUMINUM POWDER, UNCOATED",Incompatible,"E
F
G
R1
R3
T

R1
R3
-----

CO2
NOx
SO2

*****


Metals, Elemental and Powder, Active WITH Oxidizing Agents, Strong:

   Many active metals, especially in powder form, are strong reducing agents, so their interactions with oxidizing agents will generally be vigorous and therefore hazardous. Specific examples follow: 

   Calcium explodes on contact with N2O4 at ambient temperatures (Pascal, P. 1956. Nouveau Traité de Chimie Minérale. Vol. 10, p. 382. Masson et Cie.; Pascal, P. 1958. Nouveau Traité de Chimie Minérale. Vol. 4, p. 291. Masson et Cie.) and reacts explosively with P4O10 if heated (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 945. Longmans, Green and Co Ltd.).

   Iron or magnesium ignites if heated in N2O4, and aluminum forms explosive mixtures with N2O4 (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 544-545. Longmans, Green and Co Ltd.; J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 13, pp. 342. Longmans, Green and Co Ltd.; A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13.).

   Cobalt sensitizes hydrazinium nitrate to explosive decomposition (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 327. Longmans, Green and Co Ltd.).

   Aluminum, calcium, iron, magnesium, and other metals ignite violently on contact with ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237).

   Many metals, including aluminum, barium, chromium, iron, nickel, zinc, titanium, and cobalt ignite on contact with BrF5 (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113-114. Longmans, Green and Co Ltd.; N. V. Sidgwick, 1950, The Chemical Elements and their Compounds, Oxford, Oxford University Press, pp. 1158; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 172. Longmans, Green and Co Ltd.).

   Aluminum ignites on contact with Cl2 at ambient temperatures, and reacts vigorously with bromine (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 92, 135. Longmans, Green and Co Ltd.; J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 5, pp. 209. Longmans, Green and Co Ltd.). It can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82; Azmathulla, S. et al. 1955. Journal of Chemical Education 32:447; 1956. School Science Review 38(134):107; A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13).

   Calcium (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, pp. 638. Longmans, Green and Co Ltd.) and magnesium (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 267. Longmans, Green and Co Ltd.) ignite on contact with fluorine or chlorine at ambient temperatures, and magnesium can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82).

   Iron ignites in chlorine at ambient temperatures (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1303; Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 915).

   Titanium can ignite on contact with dry chlorine (Hanson, B.H. 1975. Process Engineering (2):77).

   Zinc can incandesce in fluorine, and ignites in chlorine or iodine if moisture is present (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 476. Longmans, Green and Co Ltd.; Jackson, H. 1969. Spectrum 7:82).

   Titanium reacts explosively with potassium chlorate or potassium permanganate if the mixture is heated (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.).

   Aluminum forms impact, heat, and friction-sensitive explosive mixtures with bromates, iodates, chlorates, and perchlorates (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.; J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 476. Longmans, Green and Co Ltd.; Annikov, V.E. et al. 1976. Chemical Abstracts 85:145389; Anon. 1936. Chemical and Engineering News 14:451).

   Zinc forms explosive mixtures with metal halogenates, including potassium chlorate; the mixtures are heat-, impact-, and friction-sensitive (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.; J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 480. Longmans, Green and Co Ltd.). 

   Magnesium forms explosive mixtures with metal halogenates, including potassium chlorate (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.; Anon. 1936. Chemical and Engineering News 14:451), ammonium chlorate (Kirk-Othmer Encyclopedia of Chemical Technology, 3rd Edition. Volume 19. 1982. John Wiley & Sons, Inc. pp. 494 (Online)), potassium perchlorate (J. C. Schumacher. 1960. Perchlorates, their Properties, Manufacture and Uses. ACS 146, New York, Reinhold, pp. 210), and sodium iodate (Webster, H.A. et al. 1974. Rept. AD-782510/2GA, Springfield (Va.), USNITS).

   Nickel can form friction-sensitive explosive mixtures with potassium perchlorate and diatomaceous earth (J. C. Schumacher. 1960. Perchlorates, their Properties, Manufacture and Uses. ACS 146, New York, Reinhold, pp. 210).

   Iron powder forms a highly exothermic mixture with potassium perchlorate (Munger, A.C. et al. 1973. Chemical Abstracts 98:91917).

   Metals, including aluminum, chromium, iron, magnesium, manganese, cobalt, tin, zinc, and others form explosive mixtures with ammonium nitrate, and can react explosively under 200C (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 5, pp. 219. Longmans, Green and Co Ltd.; J. W. Mellor, 1964. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supplement 1, pp. 543-546. Longmans, Green and Co Ltd.).

   Zinc can ignite in contact with ammonium salts, including nitrate and chloride, if water is present (G. Sorbe, 1968, Giftige und Explosive Substanzen, Frankfurt, Umschau Verlag, pp. 158; Hanson, R.M. 1976. Journal of Chemical Education 53:578).

   The mixture of titanium and AgNO3 or KNO3 is powerfully explosive and sensitive to heat, impact, and friction (Shanley, E.S. 1990. Chemical and Engineering News 68(16):2; J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.).

   Magnesium can react violently or explosively with inorganic nitrates (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 272. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supplement 2.1, pp. 545. Longmans, Green and Co Ltd.), and ignites on contact with moist silver nitrate (H. Ellern, 1968, Military and Civilian Pyrotechnics, New York, Chemical Publishing Co., pp. 46). 

   Aluminum forms explosive mixtures with sodium nitrate (Anon. 1935. Fire 28, 30) and other nitrate solutions (Annikov, V.E. et al. 1976. Chemical Abstracts 85:145389). 

   Iron forms pyrotechnic mixtures with potassium dichromate (Laye, P.G. et al. 1980. Thermochimica Acta 39:3567-359).

   Aluminum forms intensely flammable mixtures with zinc peroxide (N. V. Sidgwick, 1950, The Chemical Elements and their Compounds, Oxford, Oxford University Press, pp. 270).

   Iron catalyzes exothermic decomposition of hydrogen peroxide (J. W. Mellor, 1939. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 1, pp. 936-944. Longmans, Green and Co Ltd.).

   Zinc is incandescently oxidized by KO2 (potassium superoxide) (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 493. Longmans, Green and Co Ltd.).

   Aluminum forms an explosive mixture with liquid oxygen (A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13).

   Iron, aluminum, nickel, titanium, and zinc react incandescently with nitryl fluoride if slightly warmed (Aynsley, E.E. et al. 1954. Journal of the Chemical Society, p. 1122).

   Titanium reacts violently with CuO, PbO, and PbO2 (J. W. Mellor, 1961. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.).

   Magnesium reacts violently with PbO2 (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 272. Longmans, Green and Co Ltd.).

   Powdered aluminum and magnesium ignite when mixed with oxidants such as barium peroxide, barium nitrate, potassium chlorate, or silica powder (J. R. Partington, 1967, General and Inorganic Chemistry, London, MacMillan, 4th ed., p. 364; Pascal, P. 1958. Nouveau Traité de Chimie Minérale. Vol. 4, p. 775. Masson et Cie.).

   Titanium incandesces on contact with BrF3 (	J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 164. Longmans, Green and Co Ltd.).

   Active metals may cause inorganic oxidizing agents to liberate toxic and flammable H2S and NH3, toxic NOx, SO2, and inert CO2 gases (Predicted).

Metals, Elemental and Powder, Active WITH Halogenating Agents:

   Aluminum, calcium, iron, magnesium, and other metals ignite violently on contact with ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237). 

   Many metals, including aluminum (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113-114. Longmans, Green and Co Ltd.), cobalt (J. W. Mellor, 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 172. Longmans, Green and Co Ltd.), titanium (J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 165-167. Longmans, Green and Co Ltd.), barium, chromium, iron, nickel, and zinc ignite on contact with BrF5 (N. V. Sidgwick, 1950, The Chemical Elements and their Compounds, Oxford, Oxford University Press, pp. 1158). 

   Titanium incandesces on contact with BrF3 (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 113. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, pp. 164. Longmans, Green and Co Ltd.).

   Aluminum ignites on contact with Cl2 at ambient temperatures, and reacts vigorously with bromine (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 92, 135. Longmans, Green and Co Ltd.; J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 5, pp. 209. Longmans, Green and Co Ltd.). It can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82; Azmathulla, S. et al. 1955. Journal of Chemical Education 32:447; 1956. School Science Review 38(134):107; A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 4, 13).

   Calcium (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, pp. 638. Longmans, Green and Co Ltd.) and magnesium (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 267. Longmans, Green and Co Ltd.) ignite on contact with fluorine or chlorine at ambient temperatures, and magnesium can ignite on contact with iodine if water is present (Jackson, H. 1969. Spectrum 7:82).

   Iron ignites in chlorine at ambient temperatures (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1303; Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 915).

   Titanium can ignite on contact with dry chlorine (Hanson, B.H. 1975. Process Engineering (2):77).

   Zinc can incandesce in fluorine, and ignites in chlorine or iodine if moisture is present (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 476. Longmans, Green and Co Ltd.; Jackson, H. 1969. Spectrum 7:82).

   Zinc ignites on contact with seleninyl bromide (J. W. Mellor, 1947. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 10, pp. 912. Longmans, Green and Co Ltd.).

   Br2S2 reacts violently with aluminum powder (Pascal, P. 1960. Nouveau Traité de Chimie Minérale. Vol. 13, Part 2, p. 1162. Masson et Cie.)."
BROMINE,"AMMONIA, ANHYDROUS",Incompatible,"G
R3
C
E
G
R1
R3
T
-----

NH3
O2
HX
SO2
Acid Fumes
*****


Oxidizing Agents, Strong WITH Bases, Weak:

   Addition of ammonia or other bases catalyzes decomposition of hydrogen peroxide, producing combustion-enhancing oxygen gas (Berthold, W. et al. 1980. Proceedings 3rd International Symposium on Loss Prevention Safety Prom. Chem. Ind., Basle, SSCI. pp. 1431-1434.).

   NH3 reacts violently with nitryl chloride, even at very low temperatures forming hazardous liquids NH2Cl and hydrazine (Batey, H.H. et al. 1952. Journal of the American Chemical Society 74:3408.).

   Ammonia reacts with strong oxidants such as KMnO4 to produce metal oxides, water, and inert N2 gas, and with chlorine gas to produce inert N2 gas and NH4Cl (Eggeman, T. 2001. Ammonia. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online))

   Ammonia forms explosive compounds with chlorates and reacts explosively with nitrogen oxides (hypergolic with NO, NO2, N2O4) (Eggeman, T. 2001. Ammonia. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)).

   NH3 may explode on contact with bromine pentafluoride (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 172. Longmans, Green and Co Ltd.), ClF3 (Mellor. 1956. Volume 2, Supplemental 1. pp. 157.), and Cl2O (Mellor. 1941. Volume 2. pp. 241-242; Mellor. 1946. Volume 5. pp. 824.).

   NH3 explodes violently, even at very low temperatures, in contact with a F2O2/F2O4 mixture “F2O3” (Streng, A.G. 1963. Chemical Reviews 619.).

   NH3 reacts with magnesium perchlorate exothermically, and potentially explosively (National Fire Protection Association. 1975. Publication 491M. pp. 244.). 

   Ammonia ignites on contact with F2 (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, p. 216. Longmans, Green and Co Ltd.).

   NH3 forms explosive compounds, including Ag3N, with AgNO3 (MCA Case Histories 1733. Case Histories of Accidents in the Chemical Industry, Manufacturing Chemists’ Association, Washington. pp. 1554.).

   NH3 forms explosive nitrogen trihalides with halogens, including bromine (Mellor, J.W. 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supp. 2, p. 417. Longmans, Green and Co Ltd.), chlorine (Mellor. 1941. Volume 2. pp. 95; Mellor. 1940. Volume 8. pp. 99, 288, 313, 607.), and iodine (Mellor. 1940. Volume 8. pp. 605; Mellor. 1967. Volume 8, Supplemental 2.2. pp. 416.).

   Silver oxide and ammonia form explosive compounds, possibly including Ag3N4 (MacWilliam, E.A. 1977. Photogr. Sci. Eng. 21:221-224.).

   Ammonia can initiate explosion of nitrogen trichloride (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, p. 601-604. Longmans, Green and Co Ltd.; Mellor. 1967. Volume 8, Supplemental 2.2. pp. 412.).

Halogenating Agents WITH Bases, Weak:

   NH3 can hydrolyze sulfinyl chloride to toxic HCl and SO2 gases (Urben, P.G. 1995. Bretherick's Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1325.). 

   NH3 forms explosive nitrogen trihalides with halogens, including bromine (Mellor, J.W. 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supp. 2, p. 417. Longmans, Green and Co Ltd.), chlorine (Mellor. 1941. Volume 2. pp. 95; Mellor. 1940. Volume 8. pp. 99, 288, 313, 607.), and iodine (Mellor. 1940. Volume 8. pp. 605; Mellor. 1967. Volume 8, Supplemental 2.2. pp. 416.).

   NH3 reacts explosively with ClF3 (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 157. Longmans, Green and Co Ltd.).

   NH3 ignites on contact with F2 (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, p. 216. Longmans, Green and Co Ltd.). 

   NH3 reacts violently with boron halides (The Chemical Elements and their Compounds, Sidgwick, N.V., Oxford, Oxford University Press, 1950, pp. 380.).

   NH3 may hydrolyze sulfinyl halides to form toxic HF, HBr, and HI gases in addition to HCl and SO2 gases (Predicted by comparison to similar reactions)."
BROMINE,ARGON,Compatible,"NR

-----



*****


Oxidizing Agents, Strong WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups.

Halogenating Agents WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups."
BROMINE,BENZENE,Incompatible,"E
G
R1
R3
T
C
G
R1
R3
T
-----

CO2

HX
*****


Hydrocarbons, Aromatic WITH Oxidizing Agents, Strong:

   Naphthalene explodes on contact with N2O5 (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, p. 554. Longmans, Green and Co Ltd.).

   Benzene can explode weakly on contact with nitryl perchlorate (Spinks, J.W.T. 1960. Chemical and Engineering News 38(15):5.).

   Benzene reacts exothermically and may ignite or explode on contact with BrF5 (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 172. Longmans, Green and Co Ltd.).

   Benzene, and most other organic solvents, ignite on contact with BrF3 (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, p. 113. Longmans, Green and Co Ltd.; Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 164-167. Longmans, Green and Co Ltd.). 

   Benzene ignites on contact with IF7 (Booth, H.S. et al. 1947. Chemical Reviews 41:428.).

   Benzene ignites on contact with sodium peroxide (Na2O2) in water (Fire and Explosion Risks, von Schwartz, E., London, Griffin, 1918, p. 328.).

   Benzene ignites on contact with CrO3 (Fawcett, H.H. 1959. Industrial and Engineering Chemistry Research 51(4):90A; Mikhailov, V. 1960. Chemical Abstracts 54:23331f; Mellor, J.W. 1943. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 11, p. 235. Longmans, Green and Co Ltd.).

   Benzene will ignite on contact with dioxygenyl tetrafluoroborate at ambient temperatures (Goetschel, C.T. et al. 1969. Journal of the American Chemical Society 91:4706.).

   Benzene and other aromatics form explosive ozonides on contact with ozone (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 1, p. 911. Longmans, Green and Co Ltd.).

   Benzene forms an explosive complex with silver perchlorate (Fundamentals of Fire and Explosion, AIChE Monograph Series No. 10, Stull, D. R., New York, American Institute of Chemical Engineers, 1977, p. 22.).

   Benzene reacts violently with IF5 at slightly elevated temperatures (323K) (Ruff, O. et al. 1931. Z. Anorg. Chem. 201, 245.).

Hydrocarbons, Aromatic WITH Halogenating Agents:

   Benzene reacts exothermically and may ignite or explode on contact with BrF5 (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 172. Longmans, Green and Co Ltd.).

   Benzene, and most organic solvents, ignite on contact with BrF3 (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, p. 113. Longmans, Green and Co Ltd.; 1956. Volume 2, Supplemental 1. pp. 164-167).

   Benzene ignites on contact with IF7 (Booth, H.S. et al. 1947. Chemical Reviews 41:428). 

   Benzene reacts violently with IF5 at slightly elevated temperatures (323K) (Ruff, O. et al. 1931. Z. Anorg. Chem. 201:245).

   Benzene, toluene, or xylene react violently with UF6, carbonizing the aromatic compounds (The Chemical Elements and their Compounds, Sidgwick, N.V., Oxford, Oxford University Press, 1950, pp. 1072).

   Chloromethyl ethyl ether liberates toxic HCl gas upon exposure to benzene (Walker, F. J., Formaldehyde. New York: ACS Monograph Series, 1964, pp. 279).

   Benzene may liberate toxic HX gases upon reaction with the respective diatomic halogens or through reaction with the corresponding acid halides (Rodd, E. H, Ed. Chemistry of Organic Compounds. New York: Elsevier Publishing Company, 1951. Vol. III pp. 90, 96-97)."
CALCIUM CARBONATE,ACETYLENE,Caution,"E
-----


*****


Carbonate Salts WITH Alkynes, with Acetylenic Hydrogen:

   When acetylene comes into contact with alkaline solutions of copper (II) salts, explosive copper acetylides can be formed. Silver and mercury salts will also give explosive acetylides in contact with acetylene (Bretherick, L. 1996. Bretherick’s Handbook of Reactive Chemical Hazards. Vol. 2, p 191-192. Fifth Ed. Urben, P.G., Ed. Butterworth-Heinemann, Boston, MA).

   Mixtures of acetylenic compounds with carbonate salts may also result in the formation of explosive metal acetylides. Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility. "
CALCIUM CARBONATE,ALUMINUM OXIDE,Compatible,"NR
-----


*****


Non-Redox-Active Inorganic Compounds WITH Carbonate Salts:

   No evidence was found for a hazardous interaction between non-redox-active inorganic compounds and carbonate salts. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility."
