Substance 1,Substance 2,Result
TITANIUM SPONGE GRANULES,LEAD DIMETHYLDITHIOCARBAMATE,N
TITANIUM SPONGE GRANULES,MAGNESIUM,Y
TITANIUM SPONGE GRANULES,MAGNESIUM OXIDE,N
TITANIUM SPONGE GRANULES,METHANE,Y
TITANIUM SPONGE GRANULES,"METHANE, REFRIGERATED LIQUID (CRYOGENIC LIQUID)",Y
TITANIUM SPONGE GRANULES,METHYL CARBAMATE,C
TITANIUM SPONGE GRANULES,N-PHENYL-2-NAPHTHYLAMINE,N
TITANIUM SPONGE GRANULES,NICKEL,Y
TITANIUM SPONGE GRANULES,POLYETHYLENE AS,Y
TITANIUM SPONGE GRANULES,POLYETHYLENE POLYAMINE,N
TITANIUM SPONGE GRANULES,POLYPROPYLENE,Y
TITANIUM SPONGE GRANULES,POLYVINYLPYRROLIDONE,N
TITANIUM SPONGE GRANULES,POTASSIUM NITRATE,N
TITANIUM SPONGE GRANULES,POTASSIUM PERMANGANATE,N
TITANIUM SPONGE GRANULES,RANEY NICKEL,Y
TITANIUM SPONGE GRANULES,SILANE,N
TITANIUM SPONGE GRANULES,"SILICA, AMORPHOUS",C
TITANIUM SPONGE GRANULES,"SILICON POWDER, AMORPHOUS",Y
TITANIUM SPONGE GRANULES,SILVER NITRATE,N
TITANIUM SPONGE GRANULES,SODIUM,C
TITANIUM SPONGE GRANULES,SUCROSE,N
TITANIUM SPONGE GRANULES,"SULFURIC ACID, FUMING",N
TITANIUM SPONGE GRANULES,"TETRAFLUOROETHYLENE, STABILIZED",N
TITANIUM SPONGE GRANULES,TITANIUM DIOXIDE,N
TITANIUM SPONGE GRANULES,"TITANIUM POWDER, DRY",Y
TITANIUM SPONGE GRANULES,TITANIUM SPONGE GRANULES,X
WATER,1-BUTENE,Y
WATER,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,C
WATER,"2,4-D SODIUM SALT",N
WATER,"2,4-DICHLOROPHENOXYACETIC ACID",C
WATER,"2,4,5-TRICHLOROPHENOXYACETIC ACID",C
WATER,ALUMINUM FERROSILICON POWDER,N
WATER,"ALUMINUM POWDER, UNCOATED",N
WATER,"ALUMINUM SULFATE, SOLID",C
WATER,AMMONIUM LAURYL SULFATE,C
WATER,"ASBESTOS, WHITE",Y
WATER,BARIUM SULFATE,N
WATER,BENZALDEHYDE,Y
WATER,BENZENE,Y
WATER,CADMIUM SULFATE,C
WATER,CALCIUM CHROMATE,N
WATER,CELLULOSE,Y
WATER,COPPER AND LEAD SULFIDE,N
WATER,DIMETHYLCHLOROSILANE,N
WATER,ETHYLENE,C
WATER,ETHYLENE GLYCOL,Y
WATER,"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25% WATER",N
WATER,"IRON, [POWDERED]",N
WATER,ISOPROPYL PROPIONATE,C
WATER,LEAD,Y
WATER,LEAD CHROMATE,N
WATER,LEAD DIMETHYLDITHIOCARBAMATE,N
WATER,MAGNESIUM,N
WATER,MAGNESIUM OXIDE,N
WATER,METHANE,Y
WATER,"METHANE, REFRIGERATED LIQUID (CRYOGENIC LIQUID)",Y
WATER,METHYL CARBAMATE,C
WATER,N-PHENYL-2-NAPHTHYLAMINE,C
WATER,NICKEL,N
WATER,POLYETHYLENE AS,Y
WATER,POLYETHYLENE POLYAMINE,C
WATER,POLYPROPYLENE,Y
WATER,POLYVINYLPYRROLIDONE,C
WATER,POTASSIUM NITRATE,Y
WATER,POTASSIUM PERMANGANATE,N
WATER,RANEY NICKEL,N
WATER,SILANE,N
WATER,"SILICA, AMORPHOUS",Y
WATER,"SILICON POWDER, AMORPHOUS",N
WATER,SILVER NITRATE,Y
WATER,SODIUM,N
WATER,SUCROSE,Y
WATER,"SULFURIC ACID, FUMING",C
WATER,"TETRAFLUOROETHYLENE, STABILIZED",C
WATER,TITANIUM DIOXIDE,Y
WATER,"TITANIUM POWDER, DRY",N
WATER,TITANIUM SPONGE GRANULES,N
WATER,WATER,X
